rank,category,modality,name,number,country,event_name,Qualification,Semi-Final,Final
17,Youth B Female,Boulder,Maja OLEKSY,322 •,POL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T5z 2 21 (19),1T2z 2 5 (17),
18,Youth B Female,Boulder,Darya AKULOVA,348 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T5z 2 11 (18),0T3z 0 11 (18),
19,Youth B Female,Boulder,Iuliia NIKITINA,355 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T3z 7 7 (16),0T2z 0 11 (19),
20,Youth B Female,Boulder,Zala MLAKAR STARIČ,358 •,SLO,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T5z 1 13 (17),0T1z 0 7 (20),
21,Youth B Female,Boulder,Noor WITTE,319 •,NED,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T4z 1 11 (21),,
22,Youth B Female,Boulder,Annika MÜLLER,272 •,GER,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T4z 1 15 (22),,
23,Youth B Female,Boulder,Anastasia KOBETS,384 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T4z 2 9 (23),,
24,Youth B Female,Boulder,Barbara WÓJCIK,323 •,POL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T3z 2 6 (24),,
25,Youth B Female,Boulder,Anya HMAIMOU,263 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 16 (25),,
25,Youth B Female,Boulder,Maya IOO,329 •,ROU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 16 (25),,
25,Youth B Female,Boulder,Mariana JANOSOVA,230 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 16 (25),,
25,Youth B Female,Boulder,Diana YAROSH,388 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 16 (25),,
29,Youth B Female,Boulder,Noé LOOSER,366 •,SUI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 5 (29),,
30,Youth B Female,Boulder,Valissya MAY,261 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 6 (30),,
31,Youth B Female,Boulder,Evelina ZHURINA,333 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 13 (31),,
32,Youth B Female,Boulder,Barbara BURCZYK,324 •,POL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 13 (32),,
33,Youth B Female,Boulder,Ömür ÖZCAN,376 •,TUR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 3 (33),,
34,Youth B Female,Boulder,Laura FARHAT DE ARAUJO FRAGA TIMO,404 •,BRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 4 (34),,
35,Youth B Female,Boulder,Anna BALARSHINA,301 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (35),,
35,Youth B Female,Boulder,Eva DJAGORA,315 •,MKD,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (35),,
35,Youth B Female,Boulder,Darja DROZDOVA,312 •,LAT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (35),,
35,Youth B Female,Boulder,Katsiaryna HANCHAREVICH,218 •,BLR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (35),,
35,Youth B Female,Boulder,Mariana HANGGI CORREIA,220 •,BRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (35),,
35,Youth B Female,Boulder,Saule KALBANOVA,302 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (35),,
35,Youth B Female,Boulder,Joga PURTY,275 •,IND,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (35),,
35,Youth B Female,Boulder,Julija SILINA,313 •,LAT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (35),,
35,Youth B Female,Boulder,Dominika STEFANOVICH,303 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (35),,
35,Youth B Female,Boulder,Sara TRAJKOSKA,317 •,MKD,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (35),,
1,Men,Boulder,Tomoa NARASAKI,1 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,4T4z 8 5 (3),2T4z 2 4 (2),2T4z 12 20 (1)
2,Men,Boulder,Jakob SCHUBERT,5 •,AUT,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 5 6 (5),1T4z 3 12 (6),0T3z 0 10 (2)
3,Men,Boulder,Yannick FLOHÉ,11 •,GER,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T5z 5 14 (4),2T4z 13 16 (5),0T3z 0 13 (3)
4,Men,Boulder,Kokoro FUJII,1 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,4T4z 5 5 (2),2T4z 5 6 (3),0T3z 0 18 (4)
5,Men,Boulder,Keita DOHI,8 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T5z 6 8 (4),2T4z 5 10 (4),0T2z 0 9 (5)
6,Men,Boulder,Adam ONDRA,2 •,CZE,IFSC Climbing World Championships - Hachioji (JPN) 2019,5T5z 6 6 (1),3T4z 11 7 (1),0T0z 0 0 (6)
7,Men,Boulder,Rei SUGIMOTO,6 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T5z 5 11 (3),1T4z 5 9 (7),
8,Men,Boulder,Rudolph RUANA,20 •,USA,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 15 15 (8),1T4z 5 20 (8),
9,Men,Boulder,Kai HARADA,5 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T5z 4 8 (5),1T3z 1 5 (9),
10,Men,Boulder,Jernej KRUDER,3 •,SLO,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T3z 3 5 (8),1T3z 1 10 (10),
11,Men,Boulder,Jan HOJER,4 •,GER,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T5z 9 14 (10),0T4z 0 10 (11),
12,Men,Boulder,Jongwon CHON,3 •,KOR,IFSC Climbing World Championships - Hachioji (JPN) 2019,4T5z 4 5 (2),0T3z 0 6 (12),
13,Men,Boulder,Meichi NARASAKI,13 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 4 5 (6),0T3z 0 7 (13),
14,Men,Boulder,Sean MCCOLL,10 •,CAN,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 5 8 (6),0T3z 0 8 (14),
14,Men,Boulder,Yoshiyuki OGATA,2 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,4T5z 11 7 (1),0T3z 0 8 (14),
16,Men,Boulder,Manuel CORNU,7 •,FRA,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 7 10 (7),0T3z 0 9 (16),
17,Men,Boulder,Nathaniel COLEMAN,9 •,USA,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T3z 3 5 (8),0T3z 0 11 (17),
18,Men,Boulder,Nathan PHILLIPS,10 •,GBR,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 7 7 (7),0T3z 0 13 (18),
19,Men,Boulder,Michael PICCOLRUAZ,14 •,ITA,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T3z 9 8 (9),0T2z 0 4 (19),
20,Men,Boulder,Sergei SKORODUMOV,14 •,RUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T3z 7 8 (10),0T1z 0 5 (20),
21,Men,Boulder,Hanwool KIM,28 •,KOR,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T4z 1 10 (11),,
21,Men,Boulder,Anze PEHARC,6 •,SLO,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 2 8 (11),,
23,Men,Boulder,Mickael MAWEM,7 •,FRA,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T4z 2 8 (12),,
23,Men,Boulder,Sergii TOPISHKO,16 •,UKR,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 2 9 (12),,
25,Men,Boulder,Sascha LEHMANN,11 •,SUI,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T4z 5 4 (13),,
25,Men,Boulder,Alexander MEGOS,9 •,GER,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 3 6 (13),,
27,Men,Boulder,Nimrod MARCUS,17 •,ISR,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 4 16 (14),,
27,Men,Boulder,Domen SKOFIC,23 •,SLO,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 3 7 (14),,
29,Men,Boulder,Nicolas COLLIN,22 •,BEL,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 6 8 (15),,
29,Men,Boulder,Jason HOLOWACH,24 •,CAN,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 4 5 (15),,
31,Men,Boulder,Zach GALLA,21 •,USA,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 6 18 (16),,
31,Men,Boulder,Alberto GINÉS LÓPEZ,42 •,ESP,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 4 6 (16),,
33,Men,Boulder,Sean BAILEY,16 •,USA,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 5 6 (17),,
33,Men,Boulder,Egor KRYACHKOV,35 •,RUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 7 9 (17),,
35,Men,Boulder,Alex KHAZANOV,12 •,ISR,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 5 9 (18),,
35,Men,Boulder,Vadim TIMONOV,13 •,RUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T3z 2 3 (18),,
37,Men,Boulder,Hannes PUMAN,33 •,SWE,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T2z 2 2 (19),,
37,Men,Boulder,Evgenii ZAZULIN,50 •,RUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T4z 2 6 (19),,
39,Men,Boulder,William RIDAL,15 •,GBR,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T4z 2 8 (20),,
39,Men,Boulder,Gregor VEZONIK,4 •,SLO,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T2z 5 4 (20),,
41,Men,Boulder,William BOSI,18 •,GBR,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T4z 3 9 (21),,
41,Men,Boulder,Rishat KHAIBULLIN,36 •,KAZ,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T2z 8 10 (21),,
43,Men,Boulder,Yufei PAN,8 •,CHN,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T4z 5 10 (22),,
43,Men,Boulder,Thilo Jeldrik SCHRÖTER,41 •,NOR,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T2z 11 10 (22),,
45,Men,Boulder,Carlos Felipe GRANJA LOPEZ,54 •,ECU,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T3z 0 3 (23),,
45,Men,Boulder,Tim REUSER,12 •,NED,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 1 6 (23),,
47,Men,Boulder,Chia Hsiang LIN,30 •,TPE,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T3z 0 4 (24),,
47,Men,Boulder,Yuval SHEMLA,52 •,ISR,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 2 4 (24),,
49,Men,Boulder,Stefano GHISOLFI,17 •,ITA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T3z 0 6 (25),,
49,Men,Boulder,Mikel Asier LINACISORO MOLINA,19 •,ESP,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 2 6 (25),,
51,Men,Boulder,Chi-fung AU,34 •,HKG,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T3z 0 8 (26),,
51,Men,Boulder,Joe GOODACRE,40 •,USA,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 3 6 (26),,
53,Men,Boulder,Marcello BOMBARDI,18 •,ITA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T3z 0 14 (27),,
53,Men,Boulder,Ka-chun YAU,53 •,HKG,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 4 7 (27),,
55,Men,Boulder,Cheung-chi Shoji CHAN,41 •,HKG,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 4 8 (28),,
55,Men,Boulder,Jabee KIM,26 •,KOR,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 3 (28),,
57,Men,Boulder,Campbell HARRISON,38 •,AUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 7 5 (29),,
57,Men,Boulder,Davoud REKABI,25 •,IRI,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 5 (29),,
57,Men,Boulder,Martin STRANIK,22 •,CZE,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 5 (29),,
60,Men,Boulder,Ben ABEL,48 •,AUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T2z 3 3 (30),,
61,Men,Boulder,Ludovico FOSSALI,28 •,ITA,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T2z 3 10 (31),,
61,Men,Boulder,Nikolai IARILOVETS,15 •,RUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 6 (31),,
63,Men,Boulder,Thomas FARRELL,23 •,AUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T2z 4 3 (32),,
63,Men,Boulder,Lucas UCHIDA,21 •,CAN,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 10 (32),,
65,Men,Boulder,Sirapob JIRAJATURAPAK,47 •,THA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 1 (33),,
65,Men,Boulder,Aleksandr SHIKOV,49 •,RUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T2z 4 5 (33),,
67,Men,Boulder,Bassa MAWEM,40 •,FRA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 3 (34),,
67,Men,Boulder,Qixin ZHONG,36 •,CHN,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T2z 4 7 (34),,
69,Men,Boulder,Romain DESGRANGES,31 •,FRA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 4 (35),,
69,Men,Boulder,Cesar GROSSO,24 •,BRA,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T1z 3 1 (35),,
71,Men,Boulder,Alexander CVETKOVSKI,50 •,AUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 5 (36),,
71,Men,Boulder,Jakub KONECNY,47 •,CZE,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T3z 0 5 (36),,
71,Men,Boulder,Chingkheinganba MAIBAM,44 •,IND,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 5 (36),,
74,Men,Boulder,Fredrik SERLACHIUS,51 •,SWE,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T3z 0 6 (37),,
75,Men,Boulder,Dohyun LEE,43 •,KOR,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T3z 0 8 (38),,
75,Men,Boulder,Ram LEVIN,37 •,ISR,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 6 (38),,
75,Men,Boulder,George SANDERS,48 •,NZL,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 6 (38),,
75,Men,Boulder,Danny VALENCIA,39 •,ECU,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T3z 0 8 (38),,
79,Men,Boulder,John BROSLER,49 •,USA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 8 (40),,
79,Men,Boulder,Loïc TIMMERMANS,32 •,BEL,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T3z 0 14 (40),,
81,Men,Boulder,Sam LAVENDER,29 •,AUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 3 (41),,
81,Men,Boulder,Yarden PILPEL,43 •,ISR,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 9 (41),,
83,Men,Boulder,Singh ADARSH,45 •,IND,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 5 (42),,
83,Men,Boulder,Gaurav KUMAR,52 •,IND,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 14 (42),,
85,Men,Boulder,Zaheer AHMAD,55 •,PAK,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (43),,
85,Men,Boulder,Long CAO,39 •,CHN,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (43),,
85,Men,Boulder,Marcin DZIENSKI,53 •,POL,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (43),,
85,Men,Boulder,Emmanuel ESTRADA DE ARTOLA,46 •,MEX,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (43),,
85,Men,Boulder,Akmal JUMANIYAZOV,29 •,UZB,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (43),,
85,Men,Boulder,Sahil KHAN,32 •,IND,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (43),,
85,Men,Boulder,Or MINIELY,46 •,ISR,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 7 (43),,
85,Men,Boulder,Winai RUANGRIT,51 •,THA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (43),,
85,Men,Boulder,Emilio VALDEZ GARDUÑO,38 •,MEX,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (43),,
85,Men,Boulder,Ying-chieh WEN,45 •,TPE,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (43),,
95,Men,Boulder,Felipe HO FOGANHOLO,30 •,BRA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 10 (44),,
96,Men,Boulder,Jan KRIZ,42 •,CZE,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 11 (45),,
97,Men,Boulder,Thattana RAKSACHAT,44 •,THA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 1 (46),,
98,Men,Boulder,Santiago GARCIA,31 •,ARG,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 2 (47),,
99,Men,Boulder,Thomas WALDIN,27 •,NZL,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 3 (48),,
100,Men,Boulder,Damien BLOKKER,37 •,RSA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 5 (49),,
101,Men,Boulder,Danyil BOLDYREV,25 •,UKR,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 6 (50),,
102,Men,Boulder,Calrin CURTIS,26 •,RSA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (51),,
102,Men,Boulder,Hritik MARNE,33 •,IND,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (51),,
102,Men,Boulder,Javier Iván MOLINA FRANCO,34 •,MEX,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (51),,
1,Women,Boulder,Janja GARNBRET,1 •,SLO,IFSC Climbing World Championships - Hachioji (JPN) 2019,5T5z 5 5 (1),3T4z 7 6 (1),3T3z 8 8 (1)
2,Women,Boulder,Akiyo NOGUCHI,1 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,5T5z 9 9 (1),2T4z 3 8 (2),2T2z 4 2 (2)
3,Women,Boulder,Shauna COXSEY,7 •,GBR,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T5z 6 9 (8),0T3z 0 6 (6),2T2z 6 6 (3)
4,Women,Boulder,Ievgeniia KAZBEKOVA,5 •,UKR,IFSC Climbing World Championships - Hachioji (JPN) 2019,4T5z 14 14 (7),1T2z 2 3 (4),1T2z 3 4 (4)
5,Women,Boulder,Miho NONAKA,3 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 4 8 (8),0T3z 0 5 (5),1T2z 5 6 (5)
6,Women,Boulder,Nanako KURA,15 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,5T5z 12 10 (3),1T2z 1 5 (3),0T1z 0 1 (6)
7,Women,Boulder,Futaba ITO,4 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,4T5z 5 6 (2),0T3z 0 7 (7),
7,Women,Boulder,Alannah YIP,4 •,CAN,IFSC Climbing World Championships - Hachioji (JPN) 2019,4T5z 8 8 (6),0T3z 0 7 (7),
9,Women,Boulder,Fanny GIBERT,2 •,FRA,IFSC Climbing World Championships - Hachioji (JPN) 2019,4T5z 7 8 (3),0T3z 0 8 (9),
10,Women,Boulder,Petra KLINGLER,3 •,SUI,IFSC Climbing World Championships - Hachioji (JPN) 2019,5T5z 8 7 (2),0T3z 0 9 (10),
11,Women,Boulder,Yuetong ZHANG,9 •,CHN,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 5 6 (9),0T2z 0 3 (11),
12,Women,Boulder,Lucka RAKOVEC,5 •,SLO,IFSC Climbing World Championships - Hachioji (JPN) 2019,4T5z 12 16 (4),0T2z 0 5 (12),
13,Women,Boulder,Chaehyun SEO,43 •,KOR,IFSC Climbing World Championships - Hachioji (JPN) 2019,5T5z 12 12 (4),0T2z 0 8 (13),
14,Women,Boulder,Kyra CONDIE,8 •,USA,IFSC Climbing World Championships - Hachioji (JPN) 2019,4T5z 5 8 (5),0T2z 0 13 (14),
15,Women,Boulder,Anne-sophie KOLLER,17 •,SUI,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T5z 8 19 (9),0T1z 0 1 (15),
15,Women,Boulder,Urska REPUSIC,19 •,SLO,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T5z 9 9 (10),0T1z 0 1 (15),
17,Women,Boulder,Mia KRAMPL,12 •,SLO,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 5 9 (10),0T1z 0 2 (17),
17,Women,Boulder,Sofya YOKOYAMA,23 •,SUI,IFSC Climbing World Championships - Hachioji (JPN) 2019,4T4z 21 15 (6),0T1z 0 2 (17),
19,Women,Boulder,Laura ROGORA,16 •,ITA,IFSC Climbing World Championships - Hachioji (JPN) 2019,4T4z 15 12 (5),0T1z 0 3 (19),
20,Women,Boulder,Luce DOUADY,14 •,FRA,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 4 5 (7),0T1z 0 6 (20),
21,Women,Boulder,Afra HÖNIG,8 •,GER,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 11 10 (11),,
21,Women,Boulder,Vita LUKAN,12 •,SLO,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T5z 11 20 (11),,
23,Women,Boulder,Natalia GROSSMAN,13 •,USA,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T5z 12 15 (12),,
23,Women,Boulder,Elena KRASOVSKAIA,24 •,RUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 12 13 (12),,
25,Women,Boulder,Jain KIM,15 •,KOR,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 12 17 (13),,
25,Women,Boulder,Viktoriia MESHKOVA,16 •,RUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 6 11 (13),,
27,Women,Boulder,Andrea KÜMIN,24 •,SUI,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 6 14 (14),,
27,Women,Boulder,Sol SA,6 •,KOR,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 14 15 (14),,
29,Women,Boulder,Luiza EMELEVA,38 •,RUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 15 16 (15),,
29,Women,Boulder,Ashima SHIRAISHI,11 •,USA,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T4z 12 12 (15),,
31,Women,Boulder,Oceania MACKENZIE,11 •,AUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T3z 8 6 (16),,
31,Women,Boulder,Ai MORI,9 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T3z 7 7 (16),,
33,Women,Boulder,Alex JOHNSON,7 •,USA,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 3 10 (17),,
33,Women,Boulder,Jessica PILZ,2 •,AUT,IFSC Climbing World Championships - Hachioji (JPN) 2019,3T3z 10 10 (17),,
35,Women,Boulder,Johanna FÄRBER,13 •,AUT,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 7 9 (18),,
35,Women,Boulder,Sandra LETTNER,10 •,AUT,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T5z 8 13 (18),,
37,Women,Boulder,Anouck JAUBERT,25 •,FRA,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 6 11 (19),,
37,Women,Boulder,Irina KUZMENKO,18 •,RUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 11 26 (19),,
39,Women,Boulder,Mei KOTAKE,14 •,JPN,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T4z 12 17 (20),,
39,Women,Boulder,Elnaz REKABI,10 •,IRI,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T3z 6 7 (20),,
41,Women,Boulder,Di NIU,27 •,CHN,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T3z 8 13 (21),,
41,Women,Boulder,Brooke RABOUTOU,21 •,USA,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T3z 9 11 (21),,
43,Women,Boulder,Julia CHANOURDIE,6 •,FRA,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T5z 6 18 (22),,
43,Women,Boulder,Tatiana SHEMULINKINA,17 •,RUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T3z 12 14 (22),,
45,Women,Boulder,Valentina AGUADO,20 •,ARG,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T3z 14 10 (23),,
45,Women,Boulder,Hung Ying LEE,18 •,TPE,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 2 5 (23),,
47,Women,Boulder,Alejandra CONTRERAS,33 •,CHI,IFSC Climbing World Championships - Hachioji (JPN) 2019,2T2z 13 13 (24),,
47,Women,Boulder,Allison VEST,20 •,CAN,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 2 6 (24),,
49,Women,Boulder,Sienna KOPF,21 •,USA,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 3 7 (25),,
49,Women,Boulder,Andrea ROJAS,37 •,ECU,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T2z 5 8 (25),,
51,Women,Boulder,Tiffany MELIUS,36 •,AUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T2z 6 7 (26),,
51,Women,Boulder,Margaryta ZAKHAROVA,22 •,UKR,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T3z 8 12 (26),,
