rank,category,modality,name,number,country,event_name
34,Men,Lead,Colin LANTZ,,USA,UIAA Worldcup - Tokio 1991
34,Men,Lead,Shibata TOMOHIRO,,JPN,UIAA Worldcup - Tokio 1991
34,Men,Lead,Ivan VIGIL,,MEX,UIAA Worldcup - Tokio 1991
37,Men,Lead,Satoru KAMAMURA,,JPN,UIAA Worldcup - Tokio 1991
37,Men,Lead,Luca ZARDINI,,ITA,UIAA Worldcup - Tokio 1991
39,Men,Lead,Hujine KAI,,JPN,UIAA Worldcup - Tokio 1991
40,Men,Lead,Jae-yong LEE,,KOR,UIAA Worldcup - Tokio 1991
40,Men,Lead,Sadao SHIMADA,,JPN,UIAA Worldcup - Tokio 1991
42,Men,Lead,Chi-wai LOK,,HKG,UIAA Worldcup - Tokio 1991
43,Men,Lead,Ernesto TERRONES,,MEX,UIAA Worldcup - Tokio 1991
44,Men,Lead,Tomoki USAMI,,JPN,UIAA Worldcup - Tokio 1991
45,Men,Lead,Mark BAKER,,AUS,UIAA Worldcup - Tokio 1991
45,Men,Lead,Simon PARBOOSINGH,,CAN,UIAA Worldcup - Tokio 1991
47,Men,Lead,Wei HE,,CHN,UIAA Worldcup - Tokio 1991
47,Men,Lead,D. LIM,,KOR,UIAA Worldcup - Tokio 1991
47,Men,Lead,Yee-ping WONG,,HKG,UIAA Worldcup - Tokio 1991
50,Men,Lead,Mohit OBEROI,,IND,UIAA Worldcup - Tokio 1991
51,Men,Lead,Jong-sik KIM,,KOR,UIAA Worldcup - Tokio 1991
52,Men,Lead,Rae-kyung PARK,,KOR,UIAA Worldcup - Tokio 1991
53,Men,Lead,Ching-ming CHOU,,TPE,UIAA Worldcup - Tokio 1991
54,Men,Lead,Chi-loi TANG,,HKG,UIAA Worldcup - Tokio 1991
55,Men,Lead,Paramjit SINGH,,IND,UIAA Worldcup - Tokio 1991
55,Men,Lead,Takehiko YAMAZAKI,,JPN,UIAA Worldcup - Tokio 1991
57,Men,Lead,Tong-song CHEN,,TPE,UIAA Worldcup - Tokio 1991
58,Men,Lead,Severino SCASSA,,ITA,UIAA Worldcup - Tokio 1991
59,Men,Lead,Chen-fo TSENG,,TPE,UIAA Worldcup - Tokio 1991
1,Women,Lead,Robyn ERBESFIELD,,USA,UIAA Worldcup - Tokio 1991
2,Women,Lead,Nanette RAYBAUD,,FRA,UIAA Worldcup - Tokio 1991
3,Women,Lead,Susi GOOD,,SUI,UIAA Worldcup - Tokio 1991
4,Women,Lead,Catherine GLOESENER,,BEL,UIAA Worldcup - Tokio 1991
5,Women,Lead,Anna IBANEZ-TUDORAS,,ESP,UIAA Worldcup - Tokio 1991
6,Women,Lead,Agnès BRARD,,FRA,UIAA Worldcup - Tokio 1991
7,Women,Lead,Isabelle PATISSIER,,FRA,UIAA Worldcup - Tokio 1991
8,Women,Lead,Luisa IOVANE,,ITA,UIAA Worldcup - Tokio 1991
9,Women,Lead,Akiko OOIWA,,JPN,UIAA Worldcup - Tokio 1991
10,Women,Lead,Felicity BUTLER,,GBR,UIAA Worldcup - Tokio 1991
11,Women,Lead,Andrea EISENHUT,,GER,UIAA Worldcup - Tokio 1991
12,Women,Lead,Isabelle DORSIMOND,,BEL,UIAA Worldcup - Tokio 1991
13,Women,Lead,Isabelle LAFFONT,,FRA,UIAA Worldcup - Tokio 1991
14,Women,Lead,Eriko MOGI,,JPN,UIAA Worldcup - Tokio 1991
15,Women,Lead,Jung-ae YOU,,KOR,UIAA Worldcup - Tokio 1991
16,Women,Lead,Yumiko MUROI,,JPN,UIAA Worldcup - Tokio 1991
