Year,Event Title,Href,Location,Date
2011,Rheintal Cup - Megusta-Kids-Cup (L),https://ifsc.results.info/event/722/,Megusta-Kids-Cup,24/09/2011
2011,Rheintal Cup - Megusta-Kids-Cup (S),https://ifsc.results.info/event/723/,Promo_Oloront,24/09/2011 – 25/09/2011
2011,Intl. Event - Rock Junior - Arco (ITA) 2011,https://ifsc.results.info/event/724/,Puurs,30/09/2011 – 01/10/2011
2011,Jiangyin Rock Master - Jiangyin (CHN) 2011,https://ifsc.results.info/event/725/,Boulder,08/10/2011 – 09/10/2011
2011,Rheintal Cup Finale - Nikoloklettern Dornbirn (L),https://ifsc.results.info/event/726/,Kranj,26/11/2011 – 27/11/2011
2012,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",https://ifsc.results.info/event/727/,RB Küblis,15/04/2012
2012,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,https://ifsc.results.info/event/728/,Log-Dragomer,21/04/2012 – 22/04/2012
2012,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,https://ifsc.results.info/event/729/,Vienna,27/04/2012 – 28/04/2012
2012,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,https://ifsc.results.info/event/730/,Innsbruck,18/05/2012 – 19/05/2012
2012,IFSC Climbing Worldcup (B) - Vail (USA) 2012,https://ifsc.results.info/event/731/,Vail,01/06/2012 – 02/06/2012
2012,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",https://ifsc.results.info/event/732/,Asian_Youth_Chp_12,11/07/2012 – 13/07/2012
2012,IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,https://ifsc.results.info/event/733/,Briançon,20/07/2012 – 21/07/2012
2012,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,https://ifsc.results.info/event/734/,Argentiere,25/07/2012 – 26/07/2012
2012,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,https://ifsc.results.info/event/735/,Imst,10/08/2012 – 11/08/2012
2012,IFSC Climbing Worldcup (B) - Munich (GER) 2012,https://ifsc.results.info/event/736/,Munich,25/08/2012 – 26/08/2012
2012,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,https://ifsc.results.info/event/737/,Arco,01/09/2012 – 02/09/2012
2012,IFSC Climbing World Championship - Paris (FRA) 2012,https://ifsc.results.info/event/738/,Puurs,21/09/2012 – 22/09/2012
2012,IFSC World Championship Lead Group A - Paris 2012,https://ifsc.results.info/event/739/,Paris,11/09/2012 – 12/09/2012
2012,IFSC World Championship Lead Group B - Paris 2012,https://ifsc.results.info/event/740/,Paris,11/09/2012 – 12/09/2012
2012,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012,https://ifsc.results.info/event/741/,WCH Paris,12/09/2012 – 16/09/2012
2012,IFSC Climbing Worldcup (L) - Atlanta (USA) 2012,https://ifsc.results.info/event/742/,Atlanta,29/09/2012 – 30/09/2012
2012,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",https://ifsc.results.info/event/743/,Xining,12/10/2012 – 13/10/2012
2012,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",https://ifsc.results.info/event/744/,Mokpo,20/10/2012 – 21/10/2012
2012,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,https://ifsc.results.info/event/745/,Inzai,27/10/2012 – 28/10/2012
2012,IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,https://ifsc.results.info/event/746/,Kranj,17/11/2012 – 18/11/2012
2012,IFSC World Youth Championship - Singapore (SIN) - 2012,https://ifsc.results.info/event/747/,YWCH Singapore,29/08/2012 – 01/09/2012
2012,Paraclimbing Cup Arco 2012 - Arco (ITA) 2012,https://ifsc.results.info/event/748/,Arco_RM_12,01/09/2012 – 02/09/2012
2012,IFSC Paraclimbing World Championship - Paris (FRA) 2012,https://ifsc.results.info/event/749/,Paraclimbing_WCH_12,12/09/2012 – 16/09/2012
2012,"Asian Continental Championship - Leye, Guangxi (CHN) 2012",https://ifsc.results.info/event/750/,Asian_Ch_12,25/04/2012 – 28/04/2012
2012,"Asian Cup (L, S) - Chengdu CHN) 2012",https://ifsc.results.info/event/751/,,07/11/2012 – 10/11/2012
2012,Asian Youth Championship - Hamedan (IRI) 2012,https://ifsc.results.info/event/752/,Chamonix,12/07/2012 – 13/07/2012
2012,"European Youth Cup (L,S) - Edinburgh (GBR) 2012",https://ifsc.results.info/event/753/,Edinburgh,18/05/2012 – 20/05/2012
2012,"European Youth Cup (L,S) - Moscow (RUS) 2012",https://ifsc.results.info/event/754/,promo_Peru_Lead,26/05/2012 – 27/05/2012
